product_a,product_b,times_bought_together
RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,1343
WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE ,1138
HEART OF WICKER SMALL,HEART OF WICKER LARGE,1037
SWEETHEART CERAMIC TRINKET BOX,STRAWBERRY CERAMIC TRINKET BOX,979
HOME BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD,945
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED ,896
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,894
LUNCH BAG  BLACK SKULL.,LUNCH BAG SPACEBOY DESIGN ,887
PAPER CHAIN KIT 50'S CHRISTMAS ,PAPER CHAIN KIT VINTAGE CHRISTMAS,887
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER ,880
PACK OF 60 PINK PAISLEY CAKE CASES,60 TEATIME FAIRY CAKE CASES,852
LUNCH BAG  BLACK SKULL.,LUNCH BAG CARS BLUE,847
HEART OF WICKER LARGE,WHITE HANGING HEART T-LIGHT HOLDER,832
JUMBO STORAGE BAG SUKI,JUMBO BAG RED RETROSPOT,815
LUNCH BAG WOODLAND,LUNCH BAG SPACEBOY DESIGN ,812
WOODEN PICTURE FRAME WHITE FINISH,WHITE HANGING HEART T-LIGHT HOLDER,801
HAND WARMER OWL DESIGN,HAND WARMER SCOTTY DOG DESIGN,794
JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,790
WOODEN FRAME ANTIQUE WHITE ,WHITE HANGING HEART T-LIGHT HOLDER,783
LUNCH BAG CARS BLUE,LUNCH BAG SPACEBOY DESIGN ,781
